internal_id,num_of_duplicates,num_of_missing_key_frames,num_of_non_key_frames,generated_pdf_key_frame_count,reference_pdf_key_frame_count,accuracy,similarity_score
meatkb,4,37,111,116,38,0.02631578947368421,0.006711409395973154
htvpfe,0,2,1,4,5,0.6,0.5
wnhdmj,0,13,2,11,22,0.4090909090909091,0.375
fxddqo,0,5,0,4,9,0.4444444444444444,0.4444444444444444
adwxvg,0,3,2,8,9,0.6666666666666666,0.5454545454545454
wayvbl,54,20,61,145,50,0.6,0.2702702702702703
yaldqc,2,11,4,18,23,0.5217391304347826,0.4444444444444444
bmqioa,0,3,0,7,10,0.7,0.7
vvywdg,18,5,28,60,19,0.7368421052631579,0.2978723404255319
srmqde,1,9,2,7,13,0.3076923076923077,0.26666666666666666
aryrsb,1,9,2,7,13,0.3076923076923077,0.26666666666666666
cruilc,2,6,2,10,12,0.5,0.42857142857142855
ruquuc,0,3,1,5,7,0.5714285714285714,0.5
mlvdvr,1,10,14,33,28,0.6428571428571429,0.42857142857142855
dlfoyw,1,4,13,19,9,0.5555555555555556,0.22727272727272727
qrxowj,1,9,2,7,13,0.3076923076923077,0.26666666666666666
yysaqx,0,18,4,17,31,0.41935483870967744,0.37142857142857144
xtlxph,1,5,5,16,15,0.6666666666666666,0.5
cxqeox,1,9,2,7,13,0.3076923076923077,0.26666666666666666
sdipnw,3,11,8,19,19,0.42105263157894735,0.2962962962962963
ruweka,0,4,6,8,6,0.3333333333333333,0.16666666666666666
djwahz,6,1,0,11,6,0.8333333333333334,0.8333333333333334
zgpqgn,0,6,5,14,15,0.6,0.45
eqcnrd,2,10,0,13,21,0.5238095238095238,0.5238095238095238
oyxwwk,2,4,4,15,13,0.6923076923076923,0.5294117647058824
ufwmpg,22,24,10,65,57,0.5789473684210527,0.4925373134328358
xfzngr,0,3,0,7,10,0.7,0.7
vhghaj,2,11,2,14,21,0.47619047619047616,0.43478260869565216
tabwoi,0,7,0,8,15,0.5333333333333333,0.5333333333333333
obwxrn,0,5,3,4,6,0.16666666666666666,0.1111111111111111
xiietr,2,8,7,17,16,0.5,0.34782608695652173
zrkmxn,1,7,2,12,16,0.5625,0.5
rgqydw,0,5,6,13,12,0.5833333333333334,0.3888888888888889
olaqxj,0,4,1,5,8,0.5,0.4444444444444444
yhiddy,2,13,0,10,21,0.38095238095238093,0.38095238095238093
mfewuh,1,16,15,33,33,0.5151515151515151,0.3541666666666667
ihdpjv,0,5,2,10,13,0.6153846153846154,0.5333333333333333
vtktbw,0,40,13,35,62,0.3548387096774194,0.29333333333333333
sgmaal,0,6,2,13,17,0.6470588235294118,0.5789473684210527
hkyigj,0,1,2,6,5,0.8,0.5714285714285714
lhwemu,0,44,14,33,63,0.30158730158730157,0.24675324675324675
lxwqhv,2,14,1,9,20,0.3,0.2857142857142857
hydixc,0,4,1,4,7,0.42857142857142855,0.375
sdcniw,0,6,1,6,11,0.45454545454545453,0.4166666666666667
hrpnxe,1,14,10,29,32,0.5625,0.42857142857142855
apivsf,7,3,4,19,11,0.7272727272727273,0.5333333333333333
bqzprh,0,23,2,24,45,0.4888888888888889,0.46808510638297873
hhboxg,1,3,2,13,13,0.7692307692307693,0.6666666666666666
fcxvmr,4,6,5,20,17,0.6470588235294118,0.5
txxahm,31,9,30,85,33,0.7272727272727273,0.38095238095238093
gxtjwd,0,8,6,8,10,0.2,0.125
menozr,5,31,5,42,63,0.5079365079365079,0.47058823529411764
uhrpei,0,25,12,36,49,0.4897959183673469,0.39344262295081966
oogxef,2,7,13,20,12,0.4166666666666667,0.2
tvtjdv,0,7,0,8,15,0.5333333333333333,0.5333333333333333
iqntxc,0,12,10,26,28,0.5714285714285714,0.42105263157894735
npurai,28,6,19,68,27,0.7777777777777778,0.45652173913043476
ozygri,4,13,16,24,17,0.23529411764705882,0.12121212121212122
pssllz,45,12,29,114,52,0.7692307692307693,0.49382716049382713
eupjay,0,14,4,14,24,0.4166666666666667,0.35714285714285715
kdcdle,0,40,18,39,61,0.3442622950819672,0.26582278481012656
gmyvcu,0,4,0,6,10,0.6,0.6
aqqzpy,2,3,1,9,9,0.6666666666666666,0.6
cftulg,0,12,10,15,17,0.29411764705882354,0.18518518518518517
jtkszw,1,28,8,33,52,0.46153846153846156,0.4
qzxibg,0,3,1,6,8,0.625,0.5555555555555556
afsikc,1,8,0,7,14,0.42857142857142855,0.42857142857142855
znavfo,0,5,3,15,17,0.7058823529411765,0.6
sosjvp,1,65,15,56,105,0.38095238095238093,0.3333333333333333
yecmvl,1,12,0,23,34,0.6470588235294118,0.6470588235294118
ijifjf,0,10,10,17,17,0.4117647058823529,0.25925925925925924
aqeiwr,0,4,0,2,6,0.3333333333333333,0.3333333333333333
lhopxd,0,3,1,9,11,0.7272727272727273,0.6666666666666666
dxeqwb,16,10,12,42,24,0.5833333333333334,0.3888888888888889
xpetji,6,7,1,16,16,0.5625,0.5294117647058824
cyqohz,0,5,1,10,14,0.6428571428571429,0.6
mhhqzg,3,19,13,38,41,0.5365853658536586,0.4074074074074074
sktpkr,0,3,4,8,7,0.5714285714285714,0.36363636363636365
yirczy,0,4,1,4,7,0.42857142857142855,0.375
tpfibt,0,3,4,8,7,0.5714285714285714,0.36363636363636365
pdddxw,1,13,11,16,17,0.23529411764705882,0.14285714285714285
xxmbxs,35,4,22,92,39,0.8974358974358975,0.5737704918032787
czeswe,1,4,3,8,8,0.5,0.36363636363636365
wdvnza,44,23,31,101,49,0.5306122448979592,0.325
xgsetv,0,4,1,5,8,0.5,0.4444444444444444
